3.8078 	ERROR 	Requested audio device 'auto' that is not available on this hardware. The 'audioDevice' preference should be one of ['Built-in Output']
9.8454 	EXP 	window1: blendMode = 'avg'
9.8460 	EXP 	window1: blendMode = 'avg'
9.8617 	EXP 	window1: blendMode = 'avg'
9.8623 	EXP 	window1: blendMode = 'avg'
9.8628 	EXP 	window1: blendMode = 'avg'
9.8783 	EXP 	window1: blendMode = 'avg'
9.8789 	EXP 	window1: blendMode = 'avg'
9.8795 	EXP 	window1: blendMode = 'avg'
9.8947 	EXP 	window1: blendMode = 'avg'
9.8954 	EXP 	window1: blendMode = 'avg'
9.8960 	EXP 	window1: blendMode = 'avg'
9.9117 	EXP 	window1: blendMode = 'avg'
9.9123 	EXP 	window1: blendMode = 'avg'
9.9129 	EXP 	window1: blendMode = 'avg'
9.9284 	EXP 	window1: blendMode = 'avg'
9.9290 	EXP 	window1: blendMode = 'avg'
9.9296 	EXP 	window1: blendMode = 'avg'
9.9452 	EXP 	window1: blendMode = 'avg'
9.9457 	EXP 	window1: blendMode = 'avg'
9.9463 	EXP 	window1: blendMode = 'avg'
9.9618 	EXP 	window1: blendMode = 'avg'
9.9624 	EXP 	window1: blendMode = 'avg'
9.9630 	EXP 	window1: blendMode = 'avg'
9.9785 	EXP 	window1: blendMode = 'avg'
9.9791 	EXP 	window1: blendMode = 'avg'
9.9797 	EXP 	window1: blendMode = 'avg'
9.9949 	EXP 	window1: blendMode = 'avg'
9.9955 	EXP 	window1: blendMode = 'avg'
9.9960 	EXP 	window1: blendMode = 'avg'
10.0118 	EXP 	window1: blendMode = 'avg'
10.0124 	EXP 	window1: blendMode = 'avg'
10.0129 	EXP 	window1: blendMode = 'avg'
10.0284 	EXP 	window1: blendMode = 'avg'
10.0290 	EXP 	window1: blendMode = 'avg'
10.0296 	EXP 	window1: blendMode = 'avg'
10.0452 	EXP 	window1: blendMode = 'avg'
10.0457 	EXP 	window1: blendMode = 'avg'
10.0463 	EXP 	window1: blendMode = 'avg'
10.0619 	EXP 	window1: blendMode = 'avg'
10.0626 	EXP 	window1: blendMode = 'avg'
10.0633 	EXP 	window1: blendMode = 'avg'
10.0781 	EXP 	window1: blendMode = 'avg'
10.0787 	EXP 	window1: blendMode = 'avg'
10.0793 	EXP 	window1: blendMode = 'avg'
10.0950 	EXP 	window1: blendMode = 'avg'
10.0956 	EXP 	window1: blendMode = 'avg'
10.0962 	EXP 	window1: blendMode = 'avg'
10.1114 	EXP 	window1: blendMode = 'avg'
10.1121 	EXP 	window1: blendMode = 'avg'
10.1128 	EXP 	window1: blendMode = 'avg'
10.1282 	EXP 	window1: blendMode = 'avg'
10.1288 	EXP 	window1: blendMode = 'avg'
10.1293 	EXP 	window1: blendMode = 'avg'
10.1449 	EXP 	window1: blendMode = 'avg'
10.1455 	EXP 	window1: blendMode = 'avg'
10.1461 	EXP 	window1: blendMode = 'avg'
10.1617 	EXP 	window1: blendMode = 'avg'
10.1623 	EXP 	window1: blendMode = 'avg'
10.1629 	EXP 	window1: blendMode = 'avg'
10.1784 	EXP 	window1: blendMode = 'avg'
10.1790 	EXP 	window1: blendMode = 'avg'
10.1795 	EXP 	window1: blendMode = 'avg'
10.1949 	EXP 	window1: blendMode = 'avg'
10.1955 	EXP 	window1: blendMode = 'avg'
10.1961 	EXP 	window1: blendMode = 'avg'
10.2117 	EXP 	window1: blendMode = 'avg'
10.2122 	EXP 	window1: blendMode = 'avg'
10.2128 	EXP 	window1: blendMode = 'avg'
10.2287 	EXP 	window1: blendMode = 'avg'
10.2292 	EXP 	window1: blendMode = 'avg'
10.2298 	EXP 	window1: blendMode = 'avg'
10.2449 	EXP 	window1: blendMode = 'avg'
10.2455 	EXP 	window1: blendMode = 'avg'
10.2461 	EXP 	window1: blendMode = 'avg'
10.2618 	EXP 	window1: blendMode = 'avg'
10.2624 	EXP 	window1: blendMode = 'avg'
10.2629 	EXP 	window1: blendMode = 'avg'
10.2786 	EXP 	window1: blendMode = 'avg'
10.2792 	EXP 	window1: blendMode = 'avg'
10.2798 	EXP 	window1: blendMode = 'avg'
10.2944 	EXP 	window1: blendMode = 'avg'
10.2949 	EXP 	window1: blendMode = 'avg'
10.2953 	EXP 	window1: blendMode = 'avg'
10.3124 	EXP 	window1: blendMode = 'avg'
10.3129 	EXP 	window1: blendMode = 'avg'
10.3134 	EXP 	window1: blendMode = 'avg'
10.3288 	EXP 	window1: blendMode = 'avg'
10.3294 	EXP 	window1: blendMode = 'avg'
10.3300 	EXP 	window1: blendMode = 'avg'
10.3451 	EXP 	window1: blendMode = 'avg'
10.3457 	EXP 	window1: blendMode = 'avg'
10.3462 	EXP 	window1: blendMode = 'avg'
10.3618 	EXP 	window1: blendMode = 'avg'
10.3624 	EXP 	window1: blendMode = 'avg'
10.3629 	EXP 	window1: blendMode = 'avg'
10.3784 	EXP 	window1: blendMode = 'avg'
10.3790 	EXP 	window1: blendMode = 'avg'
10.3796 	EXP 	window1: blendMode = 'avg'
10.3951 	EXP 	window1: blendMode = 'avg'
10.3957 	EXP 	window1: blendMode = 'avg'
10.3963 	EXP 	window1: blendMode = 'avg'
10.4117 	EXP 	window1: blendMode = 'avg'
10.4123 	EXP 	window1: blendMode = 'avg'
10.4129 	EXP 	window1: blendMode = 'avg'
10.4285 	EXP 	window1: blendMode = 'avg'
10.4291 	EXP 	window1: blendMode = 'avg'
10.4297 	EXP 	window1: blendMode = 'avg'
10.4448 	EXP 	window1: blendMode = 'avg'
10.4455 	EXP 	window1: blendMode = 'avg'
10.4460 	EXP 	window1: blendMode = 'avg'
10.4614 	EXP 	window1: blendMode = 'avg'
10.4618 	EXP 	window1: blendMode = 'avg'
10.4623 	EXP 	window1: blendMode = 'avg'
10.4786 	EXP 	window1: blendMode = 'avg'
10.4791 	EXP 	window1: blendMode = 'avg'
10.4797 	EXP 	window1: blendMode = 'avg'
10.4948 	EXP 	window1: blendMode = 'avg'
10.4954 	EXP 	window1: blendMode = 'avg'
10.4960 	EXP 	window1: blendMode = 'avg'
10.5118 	EXP 	window1: blendMode = 'avg'
10.5124 	EXP 	window1: blendMode = 'avg'
10.5129 	EXP 	window1: blendMode = 'avg'
10.5294 	EXP 	window1: blendMode = 'avg'
10.5300 	EXP 	window1: blendMode = 'avg'
10.5306 	EXP 	window1: blendMode = 'avg'
10.5450 	EXP 	window1: blendMode = 'avg'
10.5456 	EXP 	window1: blendMode = 'avg'
10.5462 	EXP 	window1: blendMode = 'avg'
10.5618 	EXP 	window1: blendMode = 'avg'
10.5623 	EXP 	window1: blendMode = 'avg'
10.5629 	EXP 	window1: blendMode = 'avg'
10.5789 	EXP 	window1: blendMode = 'avg'
10.5795 	EXP 	window1: blendMode = 'avg'
10.5800 	EXP 	window1: blendMode = 'avg'
10.5948 	EXP 	window1: blendMode = 'avg'
10.5953 	EXP 	window1: blendMode = 'avg'
10.5958 	EXP 	window1: blendMode = 'avg'
10.6114 	EXP 	window1: blendMode = 'avg'
10.6120 	EXP 	window1: blendMode = 'avg'
10.6126 	EXP 	window1: blendMode = 'avg'
10.6289 	EXP 	window1: blendMode = 'avg'
10.6294 	EXP 	window1: blendMode = 'avg'
10.6300 	EXP 	window1: blendMode = 'avg'
10.6461 	EXP 	window1: blendMode = 'avg'
10.6467 	EXP 	window1: blendMode = 'avg'
10.6473 	EXP 	window1: blendMode = 'avg'
10.6617 	EXP 	window1: blendMode = 'avg'
10.6623 	EXP 	window1: blendMode = 'avg'
10.6628 	EXP 	window1: blendMode = 'avg'
10.6784 	EXP 	window1: blendMode = 'avg'
10.6790 	EXP 	window1: blendMode = 'avg'
10.6796 	EXP 	window1: blendMode = 'avg'
10.6951 	EXP 	window1: blendMode = 'avg'
10.6956 	EXP 	window1: blendMode = 'avg'
10.6962 	EXP 	window1: blendMode = 'avg'
10.7116 	EXP 	window1: blendMode = 'avg'
10.7122 	EXP 	window1: blendMode = 'avg'
10.7127 	EXP 	window1: blendMode = 'avg'
10.7290 	EXP 	window1: blendMode = 'avg'
10.7295 	EXP 	window1: blendMode = 'avg'
10.7300 	EXP 	window1: blendMode = 'avg'
10.7449 	EXP 	window1: blendMode = 'avg'
10.7455 	EXP 	window1: blendMode = 'avg'
10.7461 	EXP 	window1: blendMode = 'avg'
10.7618 	EXP 	window1: blendMode = 'avg'
10.7624 	EXP 	window1: blendMode = 'avg'
10.7629 	EXP 	window1: blendMode = 'avg'
10.7791 	EXP 	window1: blendMode = 'avg'
10.7797 	EXP 	window1: blendMode = 'avg'
10.7803 	EXP 	window1: blendMode = 'avg'
10.7950 	EXP 	window1: blendMode = 'avg'
10.7955 	EXP 	window1: blendMode = 'avg'
10.7960 	EXP 	window1: blendMode = 'avg'
10.8117 	EXP 	window1: blendMode = 'avg'
10.8123 	EXP 	window1: blendMode = 'avg'
10.8129 	EXP 	window1: blendMode = 'avg'
10.8296 	EXP 	window1: blendMode = 'avg'
10.8302 	EXP 	window1: blendMode = 'avg'
10.8307 	EXP 	window1: blendMode = 'avg'
10.8446 	EXP 	window1: blendMode = 'avg'
10.8452 	EXP 	window1: blendMode = 'avg'
10.8458 	EXP 	window1: blendMode = 'avg'
10.8618 	EXP 	window1: blendMode = 'avg'
10.8623 	EXP 	window1: blendMode = 'avg'
10.8629 	EXP 	window1: blendMode = 'avg'
10.8785 	EXP 	window1: blendMode = 'avg'
10.8790 	EXP 	window1: blendMode = 'avg'
10.8796 	EXP 	window1: blendMode = 'avg'
10.8948 	EXP 	window1: blendMode = 'avg'
10.8954 	EXP 	window1: blendMode = 'avg'
10.8960 	EXP 	window1: blendMode = 'avg'
10.9118 	EXP 	window1: blendMode = 'avg'
10.9123 	EXP 	window1: blendMode = 'avg'
10.9129 	EXP 	window1: blendMode = 'avg'
10.9292 	EXP 	window1: blendMode = 'avg'
10.9298 	EXP 	window1: blendMode = 'avg'
10.9303 	EXP 	window1: blendMode = 'avg'
10.9459 	EXP 	window1: blendMode = 'avg'
10.9464 	EXP 	window1: blendMode = 'avg'
10.9470 	EXP 	window1: blendMode = 'avg'
10.9617 	EXP 	window1: blendMode = 'avg'
10.9622 	EXP 	window1: blendMode = 'avg'
10.9628 	EXP 	window1: blendMode = 'avg'
10.9784 	EXP 	window1: blendMode = 'avg'
10.9790 	EXP 	window1: blendMode = 'avg'
10.9796 	EXP 	window1: blendMode = 'avg'
10.9951 	EXP 	window1: blendMode = 'avg'
10.9957 	EXP 	window1: blendMode = 'avg'
10.9963 	EXP 	window1: blendMode = 'avg'
11.0117 	EXP 	window1: blendMode = 'avg'
11.0123 	EXP 	window1: blendMode = 'avg'
11.0128 	EXP 	window1: blendMode = 'avg'
11.0285 	EXP 	window1: blendMode = 'avg'
11.0291 	EXP 	window1: blendMode = 'avg'
11.0297 	EXP 	window1: blendMode = 'avg'
11.0447 	EXP 	window1: blendMode = 'avg'
11.0452 	EXP 	window1: blendMode = 'avg'
11.0458 	EXP 	window1: blendMode = 'avg'
11.0617 	EXP 	window1: blendMode = 'avg'
11.0623 	EXP 	window1: blendMode = 'avg'
11.0629 	EXP 	window1: blendMode = 'avg'
11.0784 	EXP 	window1: blendMode = 'avg'
11.0789 	EXP 	window1: blendMode = 'avg'
11.0795 	EXP 	window1: blendMode = 'avg'
11.0951 	EXP 	window1: blendMode = 'avg'
11.0957 	EXP 	window1: blendMode = 'avg'
11.0963 	EXP 	window1: blendMode = 'avg'
11.1117 	EXP 	window1: blendMode = 'avg'
11.1123 	EXP 	window1: blendMode = 'avg'
11.1128 	EXP 	window1: blendMode = 'avg'
11.1284 	EXP 	window1: blendMode = 'avg'
11.1290 	EXP 	window1: blendMode = 'avg'
11.1296 	EXP 	window1: blendMode = 'avg'
11.1450 	EXP 	window1: blendMode = 'avg'
11.1456 	EXP 	window1: blendMode = 'avg'
11.1462 	EXP 	window1: blendMode = 'avg'
11.1622 	EXP 	window1: blendMode = 'avg'
11.1628 	EXP 	window1: blendMode = 'avg'
11.1634 	EXP 	window1: blendMode = 'avg'
11.1784 	EXP 	window1: blendMode = 'avg'
11.1789 	EXP 	window1: blendMode = 'avg'
11.1795 	EXP 	window1: blendMode = 'avg'
11.1949 	EXP 	window1: blendMode = 'avg'
11.1955 	EXP 	window1: blendMode = 'avg'
11.1961 	EXP 	window1: blendMode = 'avg'
11.2117 	EXP 	window1: blendMode = 'avg'
11.2124 	EXP 	window1: blendMode = 'avg'
11.2131 	EXP 	window1: blendMode = 'avg'
11.2292 	EXP 	window1: blendMode = 'avg'
11.2298 	EXP 	window1: blendMode = 'avg'
11.2304 	EXP 	window1: blendMode = 'avg'
